user_id,age,amount,payment_method_Visa,payment_method_MasterCard,payment_method_PayPal,payment_method_Crypto,device_Mobile,device_Desktop,country_USA,country_UK,country_India,country_Germany,country_Brazil,country_Russia,country_China,country_original,transaction_time,is_fraud,fraud_probability,risk_score,anomaly
7932,52,4642.0,False,False,False,True,False,True,False,False,False,True,False,False,False,Germany,2024-10-02 21:46:10.168141,0,0.15,696.3,0
7018,63,728.87,False,True,False,False,True,False,True,False,False,False,False,False,False,USA,2025-02-16 11:02:40.968431,0,0.77,561.2299,0
2967,65,804.39,True,False,False,False,False,True,True,False,False,False,False,False,False,USA,2024-11-26 10:55:38.072199,0,0.45,361.9755,0
9805,68,1908.79,True,False,False,False,True,False,False,False,True,False,False,False,False,India,2024-11-18 20:48:56.337928,0,0.86,1641.5593999999999,0
8232,42,1355.57,False,False,True,False,True,False,False,False,False,False,False,False,True,China,2025-01-15 07:31:48.774545,1,0.29,393.11529999999993,0
1989,18,4429.55,False,False,False,True,True,False,False,True,False,False,False,False,False,UK,2024-04-20 21:49:46.021223,0,0.51,2259.0705000000003,0
7383,51,3964.48,False,False,True,False,True,False,True,False,False,False,False,False,False,USA,2024-05-06 14:59:18.671194,0,0.39,1546.1472,0
2779,56,1006.17,False,False,False,True,True,False,False,False,False,True,False,False,False,Germany,2025-02-08 17:38:24.431709,0,0.12,120.7404,0
6413,72,4686.21,False,False,True,False,True,False,False,False,False,True,False,False,False,Germany,2024-09-29 07:41:19.365633,0,0.39,1827.6219,0
8621,32,2276.34,False,False,False,True,False,True,True,False,False,False,False,False,False,USA,2025-02-04 14:26:08.813664,0,0.65,1479.621,0
2732,65,2604.46,False,False,True,False,True,False,False,True,False,False,False,False,False,UK,2024-12-28 05:08:34.641985,0,0.11,286.49060000000003,0
9591,68,3428.56,True,False,False,False,True,False,False,False,True,False,False,False,False,India,2025-01-23 09:41:55.563412,0,0.05,171.428,0
3020,40,2401.52,False,True,False,False,True,False,False,False,False,False,False,True,False,Russia,2024-11-15 01:32:00.525107,0,0.9,2161.368,0
1208,41,3716.32,False,False,True,False,True,False,False,False,False,False,False,False,True,China,2024-09-23 15:30:45.841897,0,0.83,3084.5456,0
9896,37,4696.76,False,False,True,False,False,True,False,False,False,False,False,True,False,Russia,2025-03-12 14:28:10.625170,0,0.16,751.4816000000001,0
8284,59,420.24,True,False,False,False,False,True,False,False,False,False,True,False,False,Brazil,2025-01-18 06:12:57.603714,0,0.98,411.8352,0
9659,70,2791.44,False,True,False,False,True,False,False,False,False,False,True,False,False,Brazil,2025-02-14 05:13:44.165702,0,0.44,1228.2336,0
4506,33,3651.88,False,False,True,False,True,False,False,False,False,False,True,False,False,Brazil,2024-09-24 07:39:40.508610,0,0.12,438.2256,0
2158,42,1630.31,True,False,False,False,True,False,False,False,False,False,False,False,True,China,2025-02-11 12:37:32.462106,0,0.47,766.2456999999999,0
2362,42,3509.1,False,True,False,False,False,True,False,False,False,False,False,True,False,Russia,2025-02-23 21:35:16.073798,0,0.76,2666.916,0
3977,57,1287.4,False,False,True,False,True,False,False,False,False,False,False,False,True,China,2024-05-03 00:39:33.219407,0,0.25,321.85,0
9930,66,3895.85,False,False,True,False,False,True,False,False,False,False,False,False,True,China,2024-11-10 12:21:43.989940,0,0.12,467.50199999999995,0
4900,63,4195.25,True,False,False,False,False,True,False,False,False,True,False,False,False,Germany,2025-04-09 03:41:26.185268,0,0.51,2139.5775,0
8968,37,1766.09,False,False,False,True,False,True,False,False,False,False,False,False,True,China,2024-06-18 22:45:10.185990,0,0.23,406.2007,0
1474,36,4989.57,False,False,True,False,False,True,False,False,False,False,False,True,False,Russia,2024-06-15 21:01:02.111465,0,0.27,1347.1839,1
8978,40,4022.33,False,False,False,True,True,False,False,False,False,True,False,False,False,Germany,2025-01-29 04:24:13.825310,0,0.86,3459.2038,0
7391,36,2615.19,False,False,False,True,False,True,False,False,False,False,False,True,False,Russia,2024-05-31 15:19:25.835418,0,0.81,2118.3039000000003,0
2264,27,589.44,False,True,False,False,False,True,True,False,False,False,False,False,False,USA,2025-02-09 04:07:49.293885,0,0.62,365.4528,0
2453,67,2280.29,False,False,True,False,False,True,False,False,False,False,False,True,False,Russia,2025-03-03 03:47:42.318076,0,0.32,729.6928,0
5818,62,4085.89,False,False,False,True,True,False,False,True,False,False,False,False,False,UK,2024-10-05 12:15:26.891593,0,0.26,1062.3314,0
6448,52,3664.78,False,False,False,True,False,True,False,False,False,True,False,False,False,Germany,2024-10-20 19:16:02.472032,0,0.53,1942.3334000000002,0
2151,69,1006.56,False,True,False,False,False,True,False,True,False,False,False,False,False,UK,2024-11-02 14:15:47.585667,0,0.06,60.39359999999999,0
5902,54,1473.0,False,True,False,False,False,True,False,False,False,True,False,False,False,Germany,2024-10-21 21:08:14.925329,0,0.24,353.52,0
1668,26,4441.16,False,True,False,False,True,False,True,False,False,False,False,False,False,USA,2025-04-15 10:59:39.086593,0,0.82,3641.7511999999997,0
6307,53,3491.82,False,False,True,False,True,False,False,False,False,True,False,False,False,Germany,2025-02-14 03:59:16.070983,0,0.96,3352.1472,0
1298,30,3132.47,True,False,False,False,True,False,False,False,False,True,False,False,False,Germany,2024-12-19 06:33:47.316858,0,0.08,250.5976,0
6690,70,2695.45,False,False,True,False,False,True,False,False,True,False,False,False,False,India,2024-07-27 14:14:08.916363,0,0.78,2102.451,0
3211,22,1085.33,False,False,True,False,True,False,False,False,False,False,True,False,False,Brazil,2025-03-28 22:57:32.138971,0,0.77,835.7040999999999,0
7019,43,2135.01,False,False,False,True,True,False,False,False,False,True,False,False,False,Germany,2025-01-16 20:41:56.473833,0,0.6,1281.006,0
2255,36,4080.56,False,False,False,True,True,False,False,False,False,False,False,True,False,Russia,2024-05-28 04:34:41.750753,0,0.67,2733.9752000000003,0
6962,74,395.17,True,False,False,False,True,False,False,False,True,False,False,False,False,India,2025-03-26 07:26:43.350266,0,0.48,189.6816,1
1560,45,344.89,False,True,False,False,True,False,False,False,True,False,False,False,False,India,2024-11-30 01:42:38.319819,0,0.46,158.6494,0
6423,46,1577.79,True,False,False,False,True,False,False,False,False,False,False,False,True,China,2024-08-28 11:27:57.390241,0,0.87,1372.6773,0
5167,18,4028.68,False,False,True,False,True,False,True,False,False,False,False,False,False,USA,2024-10-14 16:03:34.507680,0,0.15,604.3019999999999,0
3071,67,3133.84,False,False,True,False,False,True,False,False,False,False,False,False,True,China,2024-09-14 17:23:42.250891,0,0.12,376.06080000000003,0
6267,30,1384.3,True,False,False,False,False,True,False,False,False,True,False,False,False,Germany,2024-06-09 16:22:29.568172,0,0.34,470.66200000000003,0
4366,58,718.46,True,False,False,False,True,False,True,False,False,False,False,False,False,USA,2024-10-02 06:02:19.573402,0,0.57,409.5222,0
4067,18,1264.09,True,False,False,False,False,True,False,False,False,False,True,False,False,Brazil,2024-10-10 14:31:01.182670,0,0.67,846.9403,0
2606,39,2987.62,False,True,False,False,False,True,False,False,True,False,False,False,False,India,2024-10-21 00:44:10.144593,0,0.19,567.6478,0
